Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment,,
GX010036_L.MP4,25204,14.0162,KAD_CAT_Transect 1,0.2297,,6.971,1.393,3409.536,7.142,,,-362.471,217.842,-3383.208,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25204,14.0162,KAD_CAT_Transect 1,0.2297,,5.439,3.61,2987.412,7.496,,,-376.409,99.363,-2961.937,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25204,14.0162,KAD_CAT_Transect 1,0.2297,,6.339,3.958,3248.584,5.95,,,-322.322,95.533,-3231.142,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25204,14.0162,KAD_CAT_Transect 1,0.2297,,7.691,2.108,3609.836,5.747,,,-359.213,38.057,-3591.717,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25204,14.0162,KAD_CAT_Transect 1,0.2297,,4.344,3.398,2645.125,2.766,,,-114.127,-58.715,-2642.009,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25204,14.0162,KAD_CAT_Transect 1,0.2297,,6.562,1.918,3319.162,2.802,,,-161.692,11.745,-3315.2,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25204,14.0162,KAD_CAT_Transect 1,0.2297,,4.344,3.18,2641.458,2.078,,,56.949,-78.528,-2639.676,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25204,14.0162,KAD_CAT_Transect 1,0.2297,,3.673,2.051,2401.268,4.22,,,94.228,-150.863,-2394.671,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25204,14.0162,KAD_CAT_Transect 1,0.2297,,5.437,2.777,2963.84,6.443,,,211.903,-258.091,-2944.967,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25204,14.0162,KAD_CAT_Transect 1,0.2297,,3.727,4.724,2405.46,8.282,,,235.102,-255.931,-2380.223,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25204,14.0162,KAD_CAT_Transect 1,0.2297,,4.438,2.353,2650.816,7.444,,,304.721,-159.922,-2628.383,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25204,14.0162,KAD_CAT_Transect 1,0.2297,,5.37,5.895,2932.527,10.73,,,506.751,-204.928,-2881.132,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25224,14.0273,KAD_CAT_Transect 1,0.2408,214.518,19.453,14.706,3746.855,22.583,81.506,24.526,1272.75,-671.137,-3459.567,KAD_CAT_1,Peter,Scaridae,Scarus,psittacus,37386024,1,AD,Passing,,,
GX010036_L.MP4,25249,14.0412,KAD_CAT_Transect 1,0.2547,81.746,6.143,5.007,2263.909,20.488,46.732,8.502,-787.898,84.286,-2120.707,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,measurement of point,school aa,
GX010036_L.MP4,25249,14.0412,KAD_CAT_Transect 1,0.2547,72.332,4.313,4.592,2572.896,15.832,13.056,19.566,-700.415,46.234,-2475.293,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,measurement of point,school aa,
GX010036_L.MP4,25249,14.0412,KAD_CAT_Transect 1,0.2547,64.837,5.82,6.123,2265.733,13.214,36.025,6.217,-517,-30.694,-2205.746,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,measurement of point,school aa,
GX010036_L.MP4,25270,14.0529,KAD_CAT_Transect 1,0.2664,74.666,4.078,1.333,2058.766,22.481,30.332,7.765,-786.952,-20.659,-1902.314,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,measurement of point,school aa,
GX010036_L.MP4,25275,14.0557,KAD_CAT_Transect 1,0.2692,80.773,2.52,6.217,1777.236,23.501,16.303,3.282,-616.078,-350.311,-1629.816,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25275,14.0557,KAD_CAT_Transect 1,0.2692,55.041,2.936,5.571,1676.658,22.131,80.447,50.577,-526.511,-348.952,-1553.126,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
GX010036_L.MP4,25275,14.0557,KAD_CAT_Transect 1,0.2692,88.727,5.17,1.706,1846.863,19.788,74.689,14.671,-472.894,-409.025,-1737.807,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,,,
GX010036_L.MP4,25278,14.0574,KAD_CAT_Transect 1,0.2708,,7.225,1.208,3516.872,14.502,,,-855.665,-210.397,-3404.697,KAD_CAT_1,Peter,Chaetodontidae,Chaetodon,plebeius,37365050,1,AD,Passing,,,
GX010036_L.MP4,25278,14.0574,KAD_CAT_Transect 1,0.2708,79.322,4.119,6.958,1873.596,21.111,43.92,7.161,-613.728,-280.581,-1747.849,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,school aa,,
GX010036_L.MP4,25278,14.0574,KAD_CAT_Transect 1,0.2708,68.901,4.866,4.214,1940.886,22.306,57.436,11.275,-710.02,-196.356,-1795.649,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
GX010036_L.MP4,25278,14.0574,KAD_CAT_Transect 1,0.2708,55.451,4.54,7.989,2081.646,20.994,43.119,26.863,-722.891,-183.385,-1943.463,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,school aa,,
GX010036_L.MP4,25290,14.064,KAD_CAT_Transect 1,0.2775,,2.847,5.161,2096.795,18.046,,,-222.546,-611.405,-1993.29,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
GX010036_L.MP4,25320,14.0807,KAD_CAT_Transect 1,0.2942,172.062,16.5,7.262,3161.419,15.701,86.644,26.338,137.26,-844.471,-3043.452,KAD_CAT_1,Peter,Holocentridae,Myripristis,kuntee,37261011,1,AD,Passing,,,
GX010036_L.MP4,25321,14.0813,KAD_CAT_Transect 1,0.2947,93.081,3.059,5.623,1994.458,20.162,13.888,6.975,-669.923,154.271,-1872.236,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,school aa,,
GX010036_L.MP4,25321,14.0813,KAD_CAT_Transect 1,0.2947,96.784,3.219,2.707,2452.283,9.403,9.048,13.172,-396.235,59.439,-2419.33,KAD_CAT_1,Peter,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,school aa,,
GX010036_L.MP4,25334,14.0885,KAD_CAT_Transect 1,0.302,105.261,1.912,12.657,1643.817,23.533,17.17,39.508,-425.824,-499.454,-1507.101,KAD_CAT_1,Peter,Labridae,Anampses,neoguinaicus,37384050,1,AD,Passing,,,
GX010036_L.MP4,25377,14.1124,KAD_CAT_Transect 1,0.3259,80.367,1.119,3.341,1126.037,20.931,24.692,22.112,163.168,-367.7,-1051.728,KAD_CAT_1,Peter,Pomacentridae,Plectroglyphidodon,fasciolatus,temp_code_011,1,AD,Passing,,,
GX010036_L.MP4,25844,14.3721,KAD_CAT_Transect 1,0.5856,,29.493,1.168,7295.89,5.996,,,-650.888,-400.658,-7255.745,KAD_CAT_1,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,,,
GX010036_L.MP4,25844,14.3721,KAD_CAT_Transect 1,0.5856,,26.594,3.499,6878.05,9.416,,,-1038.604,-437.049,-6785.121,KAD_CAT_1,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,,,
GX010036_L.MP4,25844,14.3721,KAD_CAT_Transect 1,0.5856,,28.007,11.769,7018.73,12.655,,,-1353.151,-734.324,-6847.796,KAD_CAT_1,Peter,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,,,
GX010036_L.MP4,25860,14.381,KAD_CAT_Transect 1,0.5945,227.505,6.141,2.424,3670.98,16.722,11.777,19.838,246.606,-1027.06,-3515.74,KAD_CAT_1,Peter,Acanthuridae,Acanthurus,lineatus,37437010,1,AD,Passing,,,
GX010036_L.MP4,25886,14.3955,KAD_CAT_Transect 1,0.6089,289.364,14.341,2.141,4777.995,3.121,17.965,16.09,62.894,-252.427,-4770.908,KAD_CAT_1,Peter,Acanthuridae,Acanthurus,blochii,37437007,1,AD,Passing,,,
GX010036_L.MP4,25896,14.4011,KAD_CAT_Transect 1,0.6145,,23.057,0.645,6352.029,13.329,,,1443.629,242.069,-6181.069,KAD_CAT_1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010036_L.MP4,25896,14.4011,KAD_CAT_Transect 1,0.6145,,20.23,2.589,6093.86,20.023,,,2079.844,163.152,-5725.623,KAD_CAT_1,Peter,Scaridae,Scarus,oviceps,37386022,1,AD,Passing,,,
GX010036_L.MP4,25980,14.4478,KAD_CAT_Transect 1,0.6612,209.752,17.007,5.267,4017.248,28.899,83.932,33.184,1925.663,-246.539,-3517.004,KAD_CAT_1,Peter,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,,,
GX010036_L.MP4,26125,14.5284,KAD_CAT_Transect 1,0.7419,250.399,7.671,2.875,3934.424,16.338,3.823,8.484,942.497,580.147,-3775.556,KAD_CAT_1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010036_L.MP4,26174,14.5557,KAD_CAT_Transect 1,0.7691,258.839,8.819,2.818,3443.344,14.67,23.399,27.836,-864.282,-115.83,-3331.098,KAD_CAT_1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010036_L.MP4,26174,14.5557,KAD_CAT_Transect 1,0.7691,101.972,7.346,3.281,2759.463,16.041,67.469,53.613,-740.594,-181.572,-2652.016,KAD_CAT_1,Peter,Chaetodontidae,Forcipiger,flavissimus,37365068,1,AD,Passing,,,
GX010036_L.MP4,26235,14.5896,KAD_CAT_Transect 1,0.803,103.83,3.623,3.826,2209.989,19.972,18.161,9.699,554.731,-511.939,-2077.075,KAD_CAT_1,Peter,Acanthuridae,Zebrasoma,scopas,37437036,1,AD,Passing,,,
GX010036_L.MP4,26319,14.6363,KAD_CAT_Transect 1,0.8497,201.114,19.607,16.744,4638.539,30.919,45.011,21.638,2336.288,471.477,-3979.386,KAD_CAT_1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010036_L.MP4,26378,14.6691,KAD_CAT_Transect 1,0.8825,318.489,23.646,4.695,5604.651,10.985,28.188,38.123,-752.786,-757.604,-5501.951,KAD_CAT_1,Peter,Acanthuridae,Acanthurus,blochii,37437007,1,AD,Passing,,,
GX010036_L.MP4,26378,14.6691,KAD_CAT_Transect 1,0.8825,226.298,6.284,2.478,3939.623,12.902,10.645,56.383,-610.455,-633.359,-3840.161,KAD_CAT_1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010036_L.MP4,26395,14.6786,KAD_CAT_Transect 1,0.892,247.694,7.426,5.513,3534.995,21.005,17.851,36.652,-434.572,-1190.276,-3300.087,KAD_CAT_1,Peter,Acanthuridae,Acanthurus,lineatus,37437010,1,AD,Passing,,,
GX010036_L.MP4,26401,14.6819,KAD_CAT_Transect 1,0.8953,,18.231,4.239,5866.888,22.563,,,2247.714,121.25,-5417.882,KAD_CAT_1,Peter,Acanthuridae,Acanthurus,lineatus,37437010,1,AD,Passing,,,
