Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment,,
GX010029_L.MP4,44765,24.8943,KAD_SO1_Transect 1,0.9387,,12.059,5.362,4881.129,28.613,,,2287.533,-483.468,-4284.726,KAD_SO1,Peter,Acanthuridae,Acanthurus,sp,,1,AD,Passing,,,
GX010029_L.MP4,44790,24.9082,KAD_SO1_Transect 1,0.9526,,5.295,15.034,3156.056,30.178,,,-1333.465,-861.197,-2727.802,KAD_SO1,Peter,Labridae,Thalassoma,hardwicke,37384165,1,AD,Passing,,,
GX010029_L.MP4,44827,24.9288,KAD_SO1_Transect 1,0.9732,,4.16,16.784,2739.16,28.416,,,-1071.827,-743.203,-2408.7,KAD_SO1,Peter,Chaetodontidae,Chaetodon,citrinellus,37365036,1,AD,Passing,,,
GX010029_L.MP4,44841,24.9366,KAD_SO1_Transect 1,0.981,,6.842,3.199,3349.329,18.189,,,-587.516,-866.695,-3181.457,KAD_SO1,Peter,Acanthuridae,Ctenochaetus,sp,,1,AD,Passing,,,
GX010029_L.MP4,44854,24.9438,KAD_SO1_Transect 1,0.9882,,10.86,8.796,4276.662,19.009,,,1218.155,-678.006,-4043.049,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,44864,24.9494,KAD_SO1_Transect 1,0.9938,,4.003,3.167,2540.576,21.227,,,-186.269,-902.159,-2367.687,KAD_SO1,Peter,Acanthuridae,Acanthurus,sp,,1,AD,Passing,,,
GX010029_L.MP4,44871,24.9533,KAD_SO1_Transect 1,0.9977,,14.92,2.499,5029.004,11.171,,,-600.955,-769.765,-4933.274,KAD_SO1,Peter,Acanthuridae,Acanthurus,sp,,1,AD,Passing,,,
GX010029_L.MP4,44896,24.9672,KAD_SO1_Transect 1,1.0116,,13.058,1.145,5112.406,29.061,,,-2282.574,-980.688,-4468.2,KAD_SO1,Peter,Chaetodontidae,Chaetodon,vagabundus,37365062,1,AD,Passing,,,
GX010029_L.MP4,44896,24.9672,KAD_SO1_Transect 1,1.0116,140.774,8.935,2.291,3394.843,19.223,23.29,0.063,-817.305,-762.483,-3205.556,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,44896,24.9672,KAD_SO1_Transect 1,1.0116,152.931,13.976,6.254,3057.071,21.557,75.228,1.547,-845.766,-739.15,-2843.241,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,44909,24.9744,KAD_SO1_Transect 1,1.0188,,13.947,0.726,4874.586,14.662,,,-966.419,-769.795,-4715.404,KAD_SO1,Peter,Chaetodontidae,Chaetodon,trifascialis,37365058,1,AD,Passing,,,
GX010029_L.MP4,44920,24.9805,KAD_SO1_Transect 1,1.0249,147.98,8.153,3.497,3274.154,15.743,21.736,8.227,-682.334,-568.843,-3151.336,KAD_SO1,Peter,Scaridae,Chlorurus,sp,,1,AD,Passing,,,
GX010029_L.MP4,44952,24.9983,KAD_SO1_Transect 1,1.0427,116.961,6.312,3.944,3793.327,12.296,9.534,10.222,445.279,-674.013,-3706.314,KAD_SO1,Peter,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,,,
GX010029_L.MP4,44952,24.9983,KAD_SO1_Transect 1,1.0427,194.707,17.821,3.607,3796.389,29.321,80.849,1.755,1830.763,-323.519,-3310.017,KAD_SO1,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,,
GX010029_L.MP4,45146,25.1062,KAD_SO1_Transect 1,1.1506,228.041,22.421,7.905,4304.3,28.601,83.531,1.763,-2015.836,-426.578,-3779.079,KAD_SO1,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,,
GX010029_L.MP4,45146,25.1062,KAD_SO1_Transect 1,1.1506,,10.401,0.911,4499.938,25.011,,,-1839.524,-487.896,-4077.69,KAD_SO1,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,,
GX010029_L.MP4,45146,25.1062,KAD_SO1_Transect 1,1.1506,,15.375,2.348,5382.654,21.752,,,-1909.57,-579.704,-4999.045,KAD_SO1,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,,
GX010029_L.MP4,45146,25.1062,KAD_SO1_Transect 1,1.1506,,8.191,5.599,3811.469,22.019,,,-1238.198,-715.399,-3533.039,KAD_SO1,Peter,Labridae,Stethojulis,sp,,1,AD,Passing,,,
GX010029_L.MP4,45146,25.1062,KAD_SO1_Transect 1,1.1506,,11.198,2.955,4566.348,23.67,,,-1676.564,-743.944,-4181.772,KAD_SO1,Peter,Labridae,Thalassoma,hardwicke,37384165,1,AD,Passing,,,
GX010029_L.MP4,45202,25.1373,KAD_SO1_Transect 1,1.1817,,9.499,6.002,3971.731,17.988,,,1051.877,-633.029,-3777.231,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,45445,25.2725,KAD_SO1_Transect 1,1.3169,,9.908,5.887,4061.562,11.112,,,-152.423,-770.098,-3984.972,KAD_SO1,Peter,Scaridae,Chlorurus,spilurus,temp_code_002,1,AD,Passing,,,
GX010029_L.MP4,45486,25.2953,KAD_SO1_Transect 1,1.3397,136.764,12.187,1.668,4719.771,20.088,2.806,10.826,-1525.725,-547.813,-4432.641,KAD_SO1,Peter,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,,,
