"term","estimate","std.error","statistic","p.value","Response","Predictor"
"DESIG1",0.00782128555504353,0.00505080310890871,1.5485231529315,0.124065578636517,"FEve","DESIG"
"(Intercept)",0.676229302904,0.00505366472037516,133.809688675548,4.42495689060628e-135,"FEve","crypto5BROF"
"crypto5BROF",0.0076075103921467,0.00507400148149746,1.49931181925898,0.136355069469445,"FEve","crypto5BROF"
"(Intercept)",0.676229302904,0.00509936918092317,132.610383541907,1.32910204057984e-134,"FEve","crypto5BRIF"
"crypto5BRIF",-0.000580627574648435,0.00511988986415898,-0.113406262645029,0.909893367326952,"FEve","crypto5BRIF"
"(Intercept)",0.676229302904,0.00507721630950636,133.188988154367,7.808846490851e-135,"FEve","crypto5LR"
"crypto5LR",0.00531882914279901,0.00509764784601816,1.04338889296828,0.29881457074262,"FEve","crypto5LR"
"(Intercept)",0.676229302904,0.00500526888929195,135.103491512853,1.3656405861976e-135,"FEve","crypto5BRin"
"crypto5BRin",-0.0108735819537706,0.00502541089779205,-2.16371997731529,0.0324189866513636,"FEve","crypto5BRin"
"(Intercept)",0.676229302904,0.00505743568926851,133.709916339402,4.84712455881527e-135,"FEve","crypto5BRout"
"crypto5BRout",0.00729016939861706,0.00507778762537725,1.43569797251523,0.153626546966659,"FEve","crypto5BRout"
"(Intercept)",0.676229302904,0.0049827938765607,135.712879090788,7.87994433987736e-136,"FEve","transi15BRIF"
"transi15BRIF",-0.0120858893780316,0.00500284544198821,-2.41580307010814,0.0171707491846831,"FEve","transi15BRIF"
"(Intercept)",0.676229302904,0.00483319258040769,139.913585410445,1.89909247287777e-137,"FEve","transi15BRin"
"transi15BRin",-0.0181148815140647,0.0048526421261145,-3.7329934998873,0.000287864690290764,"FEve","transi15BRin"
"(Intercept)",0.676229302904,0.00496801146443132,136.116695330816,5.48092185496863e-136,"FEve","transi15BRout"
"transi15BRout",0.0128182507419426,0.00498800354305055,2.56981588551624,0.0113684958095639,"FEve","transi15BRout"
"(Intercept)",0.676229302904,0.00505511726048627,133.771239727672,4.58307052134875e-135,"FEve","pare15BRout"
"pare15BRout",0.00748689453510733,0.00507545986686403,1.47511648825888,0.142736401880865,"FEve","pare15BRout"
"(Intercept)",0.676229302904,0.00498846492974649,135.55859616685,9.05492771881845e-136,"FEve","resid15BRout"
"resid15BRout",0.011792255223158,0.00500853931640579,2.3544300000864,0.0201350998709252,"FEve","resid15BRout"
"(Intercept)",0.676229302904,0.00508804683252419,132.905479285559,1.0130619890258e-134,"FEve","resid15BRIF"
"resid15BRIF",-0.00382609943353758,0.00510852195280571,-0.748964077845687,0.455308764999589,"FEve","resid15BRIF"
"(Intercept)",0.676229302904,0.00499549249398025,135.367894901029,1.07544681322867e-135,"FEve","pare15LR"
"pare15LR",0.0114174274342892,0.00501559516069036,2.27638536773723,0.0245517762258536,"FEve","pare15LR"
"(Intercept)",0.676229302904,0.00504217566963232,134.114586085675,3.3508138031576e-135,"FEve","pare15BRin"
"pare15BRin",-0.0085003670593884,0.00506246619696322,-1.67909606280185,0.0956719481130127,"FEve","pare15BRin"
"(Intercept)",0.676229302904,0.00509860854197591,132.630167100833,1.30510239853544e-134,"FEve","pare15BRIF"
"pare15BRIF",0.00113970663989711,0.00511912616427805,0.222636950784712,0.82418735653244,"FEve","pare15BRIF"
"(Intercept)",0.676229302904,0.00507382234440662,133.278080508569,7.19631766282204e-135,"FEve","sst_sd_6_year_mean"
"sst_sd_6_year_mean",0.0057062901436189,0.00509424022305599,1.12014547680591,0.264834220351228,"FEve","sst_sd_6_year_mean"
"(Intercept)",0.676229302903999,0.00502712521351452,134.516104967125,2.32560431172086e-135,"FEve","sst_q90_6_year_mean"
"sst_q90_6_year_mean",-0.00954185080580603,0.00504735517538495,-1.89046549613547,0.0610485909369949,"FEve","sst_q90_6_year_mean"
"(Intercept)",0.676229302904,0.00503970019910463,134.18046236642,3.1556925471857e-135,"FEve","sst_mean_6_year_mean"
"sst_mean_6_year_mean",-0.00868048125455133,0.00505998076474327,-1.71551665078153,0.0887684906452504,"FEve","sst_mean_6_year_mean"
"(Intercept)",0.912141476568,0.00370213107871481,246.382814971708,1.45732826817572e-167,"FDiv","sedimnt"
"sedimnt",-0.00166712993428165,0.00371702905069299,-0.448511408317036,0.654573272525408,"FDiv","sedimnt"
